Pincodes,location_risk_weight,location_band,District/City, GEO_Portfolio_PL_Index 
600099,8,7,Tiruvallur,1.100584952
600100,5,3,Kanchipuram,0.427567927
600101,6,4,Chennai,0.704679868
600102,6,4,Chennai,0.666314659
600103,6,4,Tiruvallur,0.807571276
600106,7,6,Chennai,0.933583727
600107,6,4,Tiruvallur,0.834788313
600108,7,6,Chennai,0.933802236
600109,6,4,Tiruvallur,0.762519953
600110,6,4,Tiruvallur,0.584020418
600112,8,7,Chennai,1.003572493
600113,6,4,Chennai,0.726595911
600114,6,4,Kanchipuram,0.578061889
600115,6,4,Kanchipuram,0.623111937
600116,10,8,Kanchipuram,1.215695744
600117,6,4,Kanchipuram,0.683476078
600118,7,6,Chennai,0.877968606
600119,5,3,Kanchipuram,0.464515521
600120,6,4,Tiruvallur,0.573901456
600122,6,4,Kanchipuram,0.671819692
600123,8,7,Tiruvallur,1.043709083
600124,15,9,Tiruvallur,1.558356843
